"ID","Gender","Married","Age","Children","Health_index","Salary","Housing","Location","History","Strategy","AmountSpent"
"fc6f590071ba8a4fdae947d72b82e63d","Female","Single","Adult",0,2,47500,"Loan","Far","High","Call",755
"3e7d9a954bd31cd30697668b3e80ee7b","Male","Single","Young",0,2,63600,"Own","Close","High","Call",1318
"95f21ae204e41bbef64546eb2cfbc1fe","Female","Single","Adult",0,3,13500,"Own","Close","Low","Brochure",296
"6be09bf7640c34db8f4397d7b2552a64","Male","Married","Young",1,2,85600,"Own","Close","High","Message",2436
"b5e4ec17c6192c6953e361ad312dba1a","Female","Single","Adult",0,2,68400,"Own","Close","High","Message",1304
"25a4706b375014d7e9bbb768ac8e3a68","Male","Married","Young",0,1,30400,"Own","Close","Low","Call",495
"97b8d56017ad256c109d3e6144d2da34","Female","Single","Young",0,2,48100,"Own","Close","Medium","Call",782
"756474422a0a530eec301cf51438d7dd","Male","Single","Adult",0,3,68400,"Own","Close","High","Message",1155
"69f1b56e087941b3b6cba82f3e8dea60","Female","Married","Young",3,3,51900,"Own","Close","Low","Brochure",158
"5ce8ad75fed0346fbe08c8ca3784b159","Male","Married","Young",0,2,80700,"Own","Far",NA,"Call",3034
"e821f61f9d64407f3e5861c759e24fe4","Male","Married","Adult",1,2,43700,"Own","Close",NA,"Call",927
"f84d444f7c4614a3f682ebcd17243a9e","Male","Married","Adult",3,2,111800,"Own","Far","High","Call",2065
"0b860ca9ab233da211b224bb61770628","Female","Married","Young",1,3,44100,"Loan","Close","Medium","Message",704
"18ed79baead6f5893c8cea0a75d41517","Male","Married","Adult",0,2,111400,"Loan","Close","High","Message",2136
"3c899e8b4c8e020401a7a94f28276b54","Female","Married","Young",0,3,110000,"Rent","Far","High","Message",5564
"4e3afd27ab6b59abb9be9f639319ba1b","Female","Married","Young",1,2,83100,"Loan","Far",NA,"Brochure",2766
"3cba70b462e86c04304951ae8d309f05","Female","Married","Adult",0,3,82800,"Loan","Close","High","Call",3010
"67ae7139fb132d667f95350e3133d690","Male","Married","Adult",0,1,90100,"Rent","Close","High","Message",1956
"d18425c78dd493c715f136a07cd6cfa1","Male","Single","Young",1,2,38600,"Rent","Close","Low","Message",542
"96a8e7f8539ed415e36335db64b55589","Female","Single","Young",0,3,14000,"Loan","Far","Low","Call",410
"f627ee04614e1cb770d76a75954c9568","Female","Single","Adult",2,2,14300,"Loan","Far","Low","Call",194
"62ceb5af523744a911b4b1ce5fc3011a","Male","Married","Adult",0,1,49800,"Rent","Close","Medium","Call",827
"72a56963b9ee94dd23625e5dd769cfa3","Female","Married","Adult",0,2,60200,"Own","Far","High","Brochure",2328
"73805c148ac93f8ccef2d949d46e5fb1","Male","Married","Adult",1,3,43500,"Own","Far","Medium","Brochure",808
"20e3045492807973c16ce838228e5539","Female","Married","Adult",1,3,41700,"Own","Close",NA,"Call",521
"88214ef3e5d1b40e6e618d3b2d037beb","Female","Married","Young",3,3,92300,"Own","Close","Low","Call",655
"c57c65525dac61ed94f308d9543581fd","Male","Single","Adult",3,3,62800,"Loan","Close",NA,"Brochure",707
"9059db132235071a2f14a430eb014c3b","Female","Married","Adult",0,3,72900,"Rent","Far","High","Call",2075
"1d3020af927f691e03bafd3445ad96c8","Female","Married","Adult",2,3,66900,"Loan","Close","Medium","Brochure",769
"538a90b5e3b59ff80063a020a5006c9b","Male","Single","Young",1,1,21700,"Loan","Close",NA,"Brochure",774
"931979f8bbfc6d0c61931c0c1db48b8d","Female","Married","Adult",0,2,39700,"Loan","Close","Medium","Brochure",573
"0a4bb048afdb9436e0da7ad2025d873a","Male","Married","Young",1,1,72200,"Loan","Far","High","Call",2082
"f705d9e98f8e20f629cdabc112ea6bca","Female","Married","Adult",3,2,0,"Loan","Close",NA,"Call",NA
"6e4b67f30fcc0acad6b511ef03acf917","Male","Married","Adult",0,2,104100,"Rent","Close","High","Brochure",2636
"478d2be6054a507fc5135c5b43acec69","Male","Single","Adult",0,3,67700,"Own","Far","High","Brochure",2226
"b56019e6460282e784125b65ff5ff43c","Female","Single","Young",2,1,27000,"Loan","Close","Low","Message",183
"6ed65c1e79682c98d38060e70ddbc261","Female","Single","Adult",2,3,64100,"Own","Far","High","Call",1595
